what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342744440490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342744440818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342744442039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342744442307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342744442802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342744445690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342744446507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342744452230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342744455540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342744456068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342744458503
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342744478576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342744479648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342744502206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342744557206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342744561101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342744561552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342744563920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342744567485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342744568017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342744573757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342744576813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342744577901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342744588962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342744595196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342744597166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342744598445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342744600928
